period,scenario,Ass,Rule,Rec,INN,OER,q025,q50,q975,Mean,Median_Last_Yr,Risk1_med,Risk2_med,Risk3_med,Risk1_low,Risk2_low,Risk3_low,Risk1_meanR_low,Risk1_Q975_low,Risk1_meanR_med,Risk1_Q975_med,Risk1_rec2019
all,ASSnone_HCR8_RECmix_INNvar_OERnone,ASSnone,HCR8,RECmix,INNvar,OERnone,4058815.855,11604059.42,33332086.41,13400852.19,11827208.26,0.11284,0.577,0.319,0.00048,0.016,0.002,0.81852,0.27642,0.45424,0.02144,0.24958
all,ASSnone_HCR9_REClow_INNvar_OERnone,ASSnone,HCR9,REClow,INNvar,OERnone,3046591.508,6993206.593,15934373,7640877.727,7036466.562,0.71198,1,0.761,0.00284,0.094,0.008,0.50002,0.02408,0.08928,1.00E-04,0.01926
all,ASSnone_HCR9_REClowmed_INNvar_OERnone,ASSnone,HCR9,REClowmed,INNvar,OERnone,4408336.604,12310686.43,34014512.19,14103641.43,12440812.66,0.02742,0.531,0.162,4.00E-05,0.002,0.001,0.85858,0.30762,0.498,0.02384,0.27814
all,ASSnone_HCR9_RECmix_INNvar_OERnone,ASSnone,HCR9,RECmix,INNvar,OERnone,4032896.749,11522842.13,33251660.27,13327799.12,11721720.84,0.12426,0.632,0.319,0.00056,0.018,0.002,0.81422,0.27342,0.44966,0.02116,0.24676
all,ASSss3_HCR0_REClow_INNvar_OERnaq,ASSss3,HCR0,REClow,INNvar,OERnaq,3048917.953,7006688.918,15963065.29,7649524.9,6931554.34,0.76562,1,0.859,0.0255,0.497,0.061,0.5016,0.02454,0.08992,4.00E-05,0.0189
all,ASSss3_HCR0_REClowmed_INNvar_OERnaq,ASSss3,HCR0,REClowmed,INNvar,OERnaq,4385657.671,12256842.08,34343909.99,14075661.57,12137197.6,0.05204,0.718,0.166,0.00032,0.011,0.002,0.85786,0.30526,0.49422,0.02494,0.27776
all,ASSss3_HCR0_RECmix_INNvar_OERnaq,ASSss3,HCR0,RECmix,INNvar,OERnaq,3830387.518,10938869.83,32482267.43,12825829.06,11133542.47,0.20398,0.778,0.315,0.00502,0.111,0.011,0.78942,0.25192,0.41646,0.01982,0.2276
all,ASSss3_HCR10_REClow_INNvar_OERnaq,ASSss3,HCR10,REClow,INNvar,OERnaq,3054655.614,7000851.24,15929046.71,7630824.902,7055953.786,0.80802,1,0.873,0.0365,0.573,0.077,0.50076,0.02434,0.08744,8.00E-05,0.01896
all,ASSss3_HCR10_REClowmed_INNvar_OERnaq,ASSss3,HCR10,REClowmed,INNvar,OERnaq,4403321.153,12331580.42,34291629.06,14125425,12489125.65,0.0359,0.587,0.175,0.00024,0.008,0.003,0.85996,0.308,0.49924,0.02478,0.28106
all,ASSss3_HCR10_RECmix_INNvar_OERnaq,ASSss3,HCR10,RECmix,INNvar,OERnaq,3814708.641,10950381.94,32417582.86,12825216.19,11349114.73,0.20162,0.668,0.319,0.00666,0.122,0.015,0.79036,0.24994,0.4168,0.01952,0.2271
all,ASSss3_HCR11_REClow_INNvar_OERnaq,ASSss3,HCR11,REClow,INNvar,OERnaq,3057366.099,7013852.534,15982675.87,7654273.302,7083746.911,0.51888,1,0.569,3.00E-04,0.014,0.003,0.50284,0.02474,0.08888,4.00E-05,0.0191
all,ASSss3_HCR11_REClowmed_INNvar_OERnaq,ASSss3,HCR11,REClowmed,INNvar,OERnaq,4460994.038,12363856.18,34164469.84,14149363.87,12382462.86,0.00762,0.225,0.178,2.00E-05,0.001,0.001,0.864,0.30928,0.50084,0.02434,0.28116
all,ASSss3_HCR11_RECmix_INNvar_OERnaq,ASSss3,HCR11,RECmix,INNvar,OERnaq,4247440.443,12025296.11,33611912.01,13831117.78,12208202.44,0.04682,0.361,0.317,6.00E-05,0.002,0.001,0.8453,0.2966,0.48012,0.02294,0.26962
all,ASSss3_HCR13_REClow_INNvar_OERnaq,ASSss3,HCR13,REClow,INNvar,OERnaq,3038560.687,7004461.903,15996761.85,7643000.776,7090451.523,0.76918,1,0.834,0.02358,0.443,0.043,0.50132,0.02484,0.08954,8.00E-05,0.01912
all,ASSss3_HCR13_REClowmed_INNvar_OERnaq,ASSss3,HCR13,REClowmed,INNvar,OERnaq,4454893.867,12416367.06,34274506.91,14189693.59,12180643.42,0.0189,0.393,0.176,0.00014,0.005,0.004,0.86314,0.3093,0.50398,0.02472,0.28134
all,ASSss3_HCR13_RECmix_INNvar_OERnaq,ASSss3,HCR13,RECmix,INNvar,OERnaq,3984153.208,11455327.9,33611912.01,13336349.01,11882026.6,0.13534,0.494,0.319,0.0032,0.067,0.009,0.81402,0.27316,0.448,0.02278,0.24758
all,ASSss3_HCR14_REClow_INNvar_OERnaq,ASSss3,HCR14,REClow,INNvar,OERnaq,3055484.304,7006313.365,15969361.18,7644229.491,7022864.892,0.73496,1,0.798,0.01798,0.368,0.038,0.5016,0.02462,0.08862,4.00E-05,0.01904
all,ASSss3_HCR14_REClowmed_INNvar_OERnaq,ASSss3,HCR14,REClowmed,INNvar,OERnaq,4384954.234,12387078.97,34211246.56,14162716.82,12222441.27,0.0148,0.332,0.169,0.00012,0.004,0.002,0.86074,0.30962,0.50206,0.0245,0.28214
all,ASSss3_HCR14_RECmix_INNvar_OERnaq,ASSss3,HCR14,RECmix,INNvar,OERnaq,4024870.812,11607152.24,33352117.37,13421424.72,11864335.99,0.1097,0.457,0.324,0.00232,0.049,0.007,0.82142,0.27676,0.4557,0.02178,0.25178
all,ASSss3_HCR7_REClow_INNvar_OERnaq,ASSss3,HCR7,REClow,INNvar,OERnaq,3064980.076,7013114.666,15964700.99,7646424.403,7038986.871,0.29466,0.997,0.374,4.00E-05,0.002,0.002,0.50288,0.0245,0.08896,2.00E-05,0.01852
all,ASSss3_HCR7_REClowmed_INNvar_OERnaq,ASSss3,HCR7,REClowmed,INNvar,OERnaq,4432105.142,12392470.87,34205568.5,14171239.21,12166804.43,0.00586,0.19,0.177,4.00E-05,0.002,0.002,0.86258,0.3109,0.50266,0.02458,0.28232
